city,year,month,date,price
合肥,2018,9,2018-09,14475
合肥,2018,10,2018-10,14618
合肥,2018,11,2018-11,14530
合肥,2018,12,2018-12,14771
合肥,2019,1,2019-01,14688
合肥,2019,2,2019-02,14638
合肥,2019,3,2019-03,14625
合肥,2019,4,2019-04,14853
合肥,2019,5,2019-05,15019
合肥,2019,6,2019-06,15063
合肥,2019,7,2019-07,15306
合肥,2019,8,2019-08,15280
合肥,2019,9,2019-09,15115
合肥,2019,10,2019-10,14998
合肥,2019,11,2019-11,15034
合肥,2019,12,2019-12,15052
合肥,2020,1,2020-01,15173
合肥,2020,2,2020-02,15023
合肥,2020,3,2020-03,15112
合肥,2020,4,2020-04,15015
合肥,2020,5,2020-05,14982
合肥,2020,6,2020-06,15025
合肥,2020,7,2020-07,15006
合肥,2020,8,2020-08,14797
合肥,2020,9,2020-09,15060
合肥,2020,10,2020-10,15142
合肥,2020,11,2020-11,15032
合肥,2020,12,2020-12,14423
合肥,2021,1,2021-01,14316
合肥,2021,2,2021-02,13785
合肥,2021,3,2021-03,13851
合肥,2021,4,2021-04,13613
合肥,2021,5,2021-05,13366
合肥,2021,6,2021-06,13170
合肥,2021,7,2021-07,13756
合肥,2021,8,2021-08,12645
合肥,2021,9,2021-09,12125
合肥,2021,10,2021-10,12286
合肥,2021,11,2021-11,12894
合肥,2021,12,2021-12,13739
合肥,2022,1,2022-01,14206
合肥,2022,2,2022-02,13785
合肥,2022,3,2022-03,14262
合肥,2022,4,2022-04,14713
合肥,2022,5,2022-05,14544
合肥,2022,6,2022-06,15057
合肥,2022,7,2022-07,14808
合肥,2022,8,2022-08,15196
合肥,2022,9,2022-09,14887
合肥,2022,10,2022-10,14870
合肥,2022,11,2022-11,15262
合肥,2022,12,2022-12,15419
合肥,2023,1,2023-01,15731
合肥,2023,2,2023-02,15919
合肥,2023,3,2023-03,16208
合肥,2023,4,2023-04,16585
合肥,2023,5,2023-05,16640
合肥,2023,6,2023-06,16443
合肥,2023,7,2023-07,16494
合肥,2023,8,2023-08,16687
合肥,2023,9,2023-09,16591
合肥,2023,10,2023-10,16816
合肥,2023,11,2023-11,16844
合肥,2023,12,2023-12,17057
合肥,2024,1,2024-01,17036
合肥,2024,2,2024-02,17061
合肥,2024,3,2024-03,16922
合肥,2024,4,2024-04,16870
合肥,2024,5,2024-05,17110
合肥,2024,6,2024-06,17062
合肥,2024,7,2024-07,17025
合肥,2024,8,2024-08,17053
合肥,2024,9,2024-09,17076
合肥,2024,10,2024-10,17071
合肥,2024,11,2024-11,17138
合肥,2024,12,2024-12,17201
合肥,2025,1,2025-01,17211
合肥,2025,2,2025-02,17173
合肥,2025,3,2025-03,17097
合肥,2025,4,2025-04,17093
合肥,2025,5,2025-05,17098
合肥,2025,6,2025-06,17054
合肥,2025,7,2025-07,17045
合肥,2025,8,2025-08,17045
合肥,2025,9,2025-09,17070
合肥,2025,10,2025-10,17087
合肥,2025,11,2025-11,17080
合肥,2025,12,2025-12,17023
乌鲁木齐,2017,1,2017-01,6579
乌鲁木齐,2017,2,2017-02,6579
乌鲁木齐,2017,3,2017-03,6570
乌鲁木齐,2017,4,2017-04,7370
乌鲁木齐,2017,5,2017-05,7362
乌鲁木齐,2017,6,2017-06,7406
乌鲁木齐,2017,7,2017-07,7074
乌鲁木齐,2017,8,2017-08,7177
乌鲁木齐,2017,9,2017-09,7399
乌鲁木齐,2017,10,2017-10,7414
乌鲁木齐,2017,11,2017-11,7420
乌鲁木齐,2017,12,2017-12,8306
乌鲁木齐,2018,1,2018-01,8437
乌鲁木齐,2018,2,2018-02,8522
乌鲁木齐,2018,3,2018-03,8909
乌鲁木齐,2018,4,2018-04,9085
乌鲁木齐,2018,5,2018-05,9105
乌鲁木齐,2018,6,2018-06,9082
乌鲁木齐,2018,7,2018-07,9083
乌鲁木齐,2018,8,2018-08,8939
乌鲁木齐,2018,9,2018-09,8721
乌鲁木齐,2018,10,2018-10,8801
乌鲁木齐,2018,11,2018-11,8967
乌鲁木齐,2018,12,2018-12,9170
乌鲁木齐,2019,1,2019-01,9320
乌鲁木齐,2019,2,2019-02,9336
乌鲁木齐,2019,3,2019-03,9298
乌鲁木齐,2019,4,2019-04,9293
乌鲁木齐,2019,5,2019-05,9355
乌鲁木齐,2019,6,2019-06,9473
乌鲁木齐,2019,7,2019-07,9385
乌鲁木齐,2019,8,2019-08,9397
乌鲁木齐,2019,9,2019-09,9378
乌鲁木齐,2019,10,2019-10,9450
乌鲁木齐,2019,11,2019-11,9508
乌鲁木齐,2019,12,2019-12,9493
乌鲁木齐,2020,1,2020-01,9518
乌鲁木齐,2020,2,2020-02,9361
乌鲁木齐,2020,3,2020-03,9295
乌鲁木齐,2020,4,2020-04,9282
乌鲁木齐,2020,5,2020-05,9229
乌鲁木齐,2020,6,2020-06,9346
乌鲁木齐,2020,7,2020-07,9385
乌鲁木齐,2020,8,2020-08,9372
乌鲁木齐,2020,9,2020-09,9332
乌鲁木齐,2020,10,2020-10,9352
乌鲁木齐,2020,11,2020-11,9427
乌鲁木齐,2020,12,2020-12,9444
乌鲁木齐,2021,1,2021-01,9327
乌鲁木齐,2021,2,2021-02,9358
乌鲁木齐,2021,3,2021-03,9240
乌鲁木齐,2021,4,2021-04,9229
乌鲁木齐,2021,5,2021-05,9203
乌鲁木齐,2021,6,2021-06,9145
